pattern,sbml_type,element_id,element_description,annotation_type,qualifier,resource,name,remark
Height_sc,parameter,Height_sc,skin thickness stratum corneum,rdf,BQB_IS,http://purl.obolibrary.org/obo/VT_0001200,skin thickness,
Height_vs,parameter,Height_vs,viable skin thickness,rdf,BQB_IS,http://purl.obolibrary.org/obo/VT_0001200,skin thickness,Using generic term for skin thickness.
VFat,parameter,VFat,volume of adipose tissue,rdf,BQB_IS,PKPBO:00077,Vfat,
VFat,parameter,VFat,volume of adipose tissue,rdf,BQB_IS_PROPERTY_OF,uberon/UBERON:0001013,adipose tissue,Model fat volume as BQB_IS volume and BQB_IS_PROPERTY_OF adipose tissue?
VRich,parameter,VRich,richly perfused tissue volume,rdf,BQB_IS,PKPBO:00093,Vrichly perfused,
VLiver,parameter,VLiver,liver volume,rdf,BQB_IS,PKPBO:00069,Vliver,
VPoor,parameter,VPoor,poorly perfused tissue volume,rdf,BQB_IS,PKPBO:00091,Vpoorly perfused,
fub,parameter,fub,Unbound fraction in blood,rdf,BQB_IS,pkpbo/PKPBO:00134,unbound fraction,Using generic term for unbound fraction.
kGut,parameter,kGut,oral 1st order absorption rate constant,rdf,BQB_IS,pbpko/PKPBO:00126,absorption rate constant gut,Both kGut and Frac refer to absorption. What to use?
CLH,parameter,CLH,hepatic metabolic clearance,rdf,BQB_IS,pbpko/PKPBO:00215,heaptic clearance,Using PKPBO term heaptic clearance (typo?)
Ke,parameter,Ke,renal excretion rate,rdf,BQB_IS,http://purl.obolibrary.org/obo/NCIT_C94967,rate constant,Using generic term for rate constant.
Ke,parameter,Ke,renal excretion rate,rdf,BQB_IS,pbpko/PKPBO:00218,renal elimination rate constant,
f_su,parameter,f_su,???,rdf,BQB_IS,pbpko/PKPBO:00003,physiological parameters,Using generic term for physiological parameter. Kp_sc_vs*BSA*(1-fSA_exposed)
f_se,parameter,f_se,???,rdf,BQB_IS,pbpko/PKPBO:00003,physiological parameters,Using generic term for physiological parameter. Kp_sc_vs*BSA*fSA_exposed
