element_id,sbml_type,unit
timeUnits,document,s
substanceUnits,document,mmol
volumeUnits,document,L
default_compartment,compartment,L
Fat,compartment,L
Rich,compartment,L
Poor,compartment,L
Liver,compartment,L
Gut,compartment,L
Skin_u,compartment,L
Skin_e,compartment,L
Skin_sc_u,compartment,L
Skin_sc_e,compartment,L
Art,compartment,L
Ven,compartment,L
QFat,species,mmol
QRich,species,mmol
QPoor,species,mmol
QLiver,species,mmol
QMetab,species,mmol
QGut,species,mmol
QSkin_u,species,mmol
QSkin_e,species,mmol
QSkin_sc_u,species,mmol
QSkin_sc_e,species,mmol
QArt,species,mmol
QVen,species,mmol
QExcret,species,mmol
QAir,species,mmol
BM,parameter,kg
BSA,parameter,dm2
Height_sc,parameter,dm
Height_vs,parameter,dm
scVFat,parameter,unitless
scVRich,parameter,unitless
scVLiver,parameter,unitless
scVBlood,parameter,unitless
VBlood,parameter,L
fSA_exposed,parameter,unitless
rho,parameter,kg/L
scFBlood,parameter,L.kg-1.h-1
scFFat,parameter,unitless
scFPoor,parameter,unitless
scFLiver,parameter,unitless
scFSkin,parameter,unitless
FBlood,parameter,L.h-1
FFat,parameter,L.h-1
FPoor,parameter,L.h-1
FLiver,parameter,L.h-1
FSkin,parameter,L.h-1
FRich,parameter,L.h-1
FSkin_e,parameter,L.h-1
FSkin_u,parameter,L.h-1
Falv,parameter,L.h-1
PCFat,parameter,unitless
PCLiver,parameter,unitless
PCRich,parameter,unitless
PCPoor,parameter,unitless
PCSkin_sc,parameter,unitless
PCSkin,parameter,unitless
PCAir,parameter,unitless
Km,parameter,mmol
Michaelis,parameter,unitless
Vmax,parameter,mM.L-1.h-1
fub,parameter,unitless
Kp_sc_vs,parameter,dm.h-1
kGut,parameter,h-1
CLH,parameter,L.h-1
Ke,parameter,L.h-1
f_su,parameter,L.h-1
f_se,parameter,L.h-1
