"","time","1","2","3","4","5","6","7","8","9","10","11","12","13","CTotal","CVen","CArt","CFat","CPoor","CRich","CLiver","CSkin_u","CSkin_e","CSkin_sc_u","CSkin_sc_e"
"1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"2",1,0.0181829484342829,0.00903127900592935,0,0,0,0.00880118918020447,0,0,0,0,0.367879318716827,0.0314170999688643,0.564688164693653,0.999999999999761,0.00572992072508916,0.0056919825667622,0,0,0,0.00523880308345504,0,0,0,0
"3",2,0.00668961709051674,0.00332267371047115,0,0,0,0.00323798943058725,0,0,0,0,0.135335011783315,0.0451804541558505,0.806234253829007,0.999999999999748,0.0021080726125578,0.0020941220864314,0,0,0,0.00192737466106384,0,0,0,0
"4",3,0.0024610210695364,0.00122236752074536,0,0,0,0.0011912130208939,0,0,0,0,0.0497878634617855,0.0502437019964611,0.895093832930316,0.999999999999739,0.000775531849643824,0.000770399697948754,0,0,0,0.000709055369579704,0,0,0,0
"5",4,0.000905410397123317,0.000449709364651753,0,0,0,0.000438247662625535,0,0,0,0,0.018316984692142,0.0521063580077568,0.927783289875393,0.999999999999693,0.000285318402454827,0.00028343027183934,0,0,0,0.000260861703943771,0,0,0,0
"6",5,0.000333112514639279,0.000165454046498556,0,0,0,0.000161237144827662,0,0,0,0,0.00673906532525077,0.0527916162472365,0.939809514721234,0.999999999999687,0.000104972431083806,0.00010427776039825,0,0,0,9.59744909688464e-05,0,0,0,0
"7",6,0.000122574243091268,6.08815464671511e-05,0,0,0,5.9329863386037e-05,0,0,0,0,0.00247974883271324,0.0530437108858341,0.944233754628197,0.999999999999689,3.86263371085929e-05,3.83707225633305e-05,0,0,0,3.53153948726411e-05,0,0,0,0
"8",7,4.51112976178305e-05,2.24063894069688e-05,0,0,0,2.18353076433172e-05,0,0,0,0,0.000912623088536908,0.0531364637743123,0.945861560142173,0.99999999999969,1.42157450476357e-05,1.41216739959888e-05,0,0,0,1.29972069305459e-05,0,0,0,0
"9",8,1.66135235311604e-05,8.2517917635465e-06,0,0,0,8.04147570178542e-06,0,0,0,0,0.000336100374377613,0.0531705862444491,0.946460406589867,0.99999999999969,5.23535405393709e-06,5.20070909467216e-06,0,0,0,4.78659267963418e-06,0,0,0,0
"10",9,6.1226491013291e-06,3.04106387715165e-06,0,0,0,2.96356220356421e-06,0,0,0,0,0.000123866483724136,0.0531831476725562,0.94668085856822,0.999999999999682,1.92940622941043e-06,1.91663689736449e-06,0,0,0,1.76402512116917e-06,0,0,0,0
